segments,algorithm,hit_rate,hits,misses
4,LRU,64.26,642,357
4,SLRU,64.26,642,357
4,LFU,64.26,642,357
4,LFUDA,64.26,642,357
4,GDSF,64.26,642,357
6,LRU,63.26,632,367
6,SLRU,63.86,638,361
6,LFU,63.86,638,361
6,LFUDA,63.86,638,361
6,GDSF,64.26,642,357
8,LRU,63.86,638,361
8,SLRU,64.06,640,359
8,LFU,64.06,640,359
8,LFUDA,64.06,640,359
8,GDSF,64.26,642,357
10,LRU,63.46,634,365
10,SLRU,63.76,637,362
10,LFU,63.76,637,362
10,LFUDA,63.46,634,365
10,GDSF,64.26,642,357
12,LRU,63.16,631,368
12,SLRU,63.56,635,364
12,LFU,63.56,635,364
12,LFUDA,63.56,635,364
12,GDSF,64.26,642,357
16,LRU,63.46,634,365
16,SLRU,63.96,639,360
16,LFU,63.96,639,360
16,LFUDA,63.96,639,360
16,GDSF,64.26,642,357
20,LRU,62.66,626,373
20,SLRU,63.16,631,368
20,LFU,63.36,633,366
20,LFUDA,63.06,630,369
20,GDSF,64.26,642,357
32,LRU,63.26,632,367
32,SLRU,63.26,632,367
32,LFU,63.16,631,368
32,LFUDA,63.26,632,367
32,GDSF,64.26,642,357
