segments,algorithm,hit_rate,hits,misses
4,LRU,31.63,316,683
4,SLRU,33.73,337,662
4,LFU,34.93,349,650
4,LFUDA,30.93,309,690
4,GDSF,64.26,642,357
6,LRU,29.73,297,702
6,SLRU,31.73,317,682
6,LFU,32.63,326,673
6,LFUDA,29.93,299,700
6,GDSF,64.26,642,357
8,LRU,30.83,308,691
8,SLRU,32.53,325,674
8,LFU,32.83,328,671
8,LFUDA,30.83,308,691
8,GDSF,64.26,642,357
10,LRU,31.43,314,685
10,SLRU,32.03,320,679
10,LFU,33.53,335,664
10,LFUDA,31.23,312,687
10,GDSF,64.26,642,357
12,LRU,30.33,303,696
12,SLRU,32.23,322,677
12,LFU,32.93,329,670
12,LFUDA,29.63,296,703
12,GDSF,64.26,642,357
16,LRU,30.93,309,690
16,SLRU,32.53,325,674
16,LFU,32.13,321,678
16,LFUDA,30.63,306,693
16,GDSF,64.26,642,357
20,LRU,30.83,308,691
20,SLRU,32.23,322,677
20,LFU,32.03,320,679
20,LFUDA,30.53,305,694
20,GDSF,64.26,642,357
32,LRU,31.53,315,684
32,SLRU,31.43,314,685
32,LFU,30.83,308,691
32,LFUDA,31.53,315,684
32,GDSF,64.26,642,357
