segments,algorithm,hit_rate
4,LRU,31.63
4,SLRU,33.73
4,LFU,34.93
4,LFUDA,30.93
4,GDSF,31.63
6,LRU,29.73
6,SLRU,31.73
6,LFU,32.63
6,LFUDA,29.93
6,GDSF,29.73
8,LRU,30.83
8,SLRU,32.53
8,LFU,32.83
8,LFUDA,30.83
8,GDSF,30.83
10,LRU,31.43
10,SLRU,32.03
10,LFU,33.53
10,LFUDA,31.23
10,GDSF,31.13
12,LRU,30.33
12,SLRU,32.23
12,LFU,32.93
12,LFUDA,29.63
12,GDSF,30.23
16,LRU,30.93
16,SLRU,32.53
16,LFU,32.13
16,LFUDA,30.63
16,GDSF,31.23
20,LRU,30.83
20,SLRU,32.23
20,LFU,32.03
20,LFUDA,30.53
20,GDSF,30.93
32,LRU,31.53
32,SLRU,31.43
32,LFU,30.83
32,LFUDA,31.53
32,GDSF,31.63
